time,vx,vy,vz,psi_dot
1.288000000000000078e+01,1.092895698547363281e+01,-8.532978057861328125e+00,-1.068308353424072266e+00,-1.185719966888427734e-01
1.289000000000000057e+01,9.787716865539550781e+00,-7.767615318298339844e+00,-1.781756877899169922e+00,-1.361925601959228516e-01
1.290000000000000036e+01,1.119328498840332031e+01,-8.540472030639648438e+00,-1.057556867599487305e+00,-1.211838722229003906e-01
1.291000000000000014e+01,1.005021858215332031e+01,-7.783110141754150391e+00,-1.760426759719848633e+00,-1.405122280120849609e-01
1.291999999999999993e+01,1.143630981445312500e+01,-8.554651260375976562e+00,-1.038682460784912109e+00,-1.252756118774414062e-01
1.292999999999999972e+01,1.029263019561767578e+01,-7.802628517150878906e+00,-1.740151643753051758e+00,-1.456036567687988281e-01
1.293999999999999950e+01,1.165964126586914062e+01,-8.568406105041503906e+00,-9.714341163635253906e-01,-1.338994503021240234e-01
1.295000000000000107e+01,1.051415252685546875e+01,-7.827098369598388672e+00,-1.683537960052490234e+00,-1.547641754150390625e-01
1.296000000000000085e+01,1.186484336853027344e+01,-8.584184646606445312e+00,-9.146428108215332031e-01,-1.432087421417236328e-01
1.297000000000000064e+01,1.071746349334716797e+01,-7.852691650390625000e+00,-1.640344858169555664e+00,-1.640486717224121094e-01
1.298000000000000043e+01,1.205322074890136719e+01,-8.601187705993652344e+00,-8.687114715576171875e-01,-1.528899669647216797e-01
1.299000000000000021e+01,1.089993000030517578e+01,-7.872629165649414062e+00,-1.607382297515869141e+00,-1.741659641265869141e-01
1.300000000000000000e+01,1.222665977478027344e+01,-8.620356559753417969e+00,-8.369719982147216797e-01,-1.622543334960937500e-01
1.300999999999999979e+01,1.105418682098388672e+01,-7.876336574554443359e+00,-1.581172943115234375e+00,-1.856915950775146484e-01
1.301999999999999957e+01,1.238449096679687500e+01,-8.641664505004882812e+00,-8.100008964538574219e-01,-1.718378067016601562e-01
1.303000000000000114e+01,1.119304180145263672e+01,-7.881301879882812500e+00,-1.555472612380981445e+00,-1.974585056304931641e-01
1.304000000000000092e+01,1.251714706420898438e+01,-8.649364471435546875e+00,-7.847821712493896484e-01,-1.821472644805908203e-01
1.305000000000000071e+01,1.132066726684570312e+01,-7.888771057128906250e+00,-1.528276205062866211e+00,-2.087941169738769531e-01
1.306000000000000050e+01,1.261836242675781250e+01,-8.668895721435546875e+00,-7.749223709106445312e-01,-1.912124156951904297e-01
1.307000000000000028e+01,1.143384742736816406e+01,-7.902581691741943359e+00,-1.507725715637207031e+00,-2.191252708435058594e-01
1.308000000000000007e+01,1.270614814758300781e+01,-8.683084487915039062e+00,-7.846570014953613281e-01,-1.995120048522949219e-01
1.308999999999999986e+01,1.152933311462402344e+01,-7.927629947662353516e+00,-1.513224840164184570e+00,-2.271087169647216797e-01
1.309999999999999964e+01,1.278858184814453125e+01,-8.696630477905273438e+00,-7.767045497894287109e-01,-2.083554267883300781e-01
1.310999999999999943e+01,1.161814880371093750e+01,-7.953928947448730469e+00,-1.499079465866088867e+00,-2.357814311981201172e-01
1.312000000000000099e+01,1.286529541015625000e+01,-8.707551956176757812e+00,-7.540881633758544922e-01,-2.175798416137695312e-01
1.313000000000000078e+01,1.169909286499023438e+01,-7.981071472167968750e+00,-1.468689441680908203e+00,-2.449936866760253906e-01
1.314000000000000057e+01,1.293618679046630859e+01,-8.715610504150390625e+00,-7.115495204925537109e-01,-2.268137931823730469e-01
1.315000000000000036e+01,1.177303791046142578e+01,-8.008999824523925781e+00,-1.419715881347656250e+00,-2.549376487731933594e-01
1.316000000000000014e+01,1.299810409545898438e+01,-8.723258018493652344e+00,-6.647813320159912109e-01,-2.369203567504882812e-01
1.316999999999999993e+01,1.183612823486328125e+01,-8.035196304321289062e+00,-1.373686790466308594e+00,-2.657823562622070312e-01
1.317999999999999972e+01,1.304870796203613281e+01,-8.728477478027343750e+00,-6.190776824951171875e-01,-2.466919422149658203e-01
1.318999999999999950e+01,1.189422607421875000e+01,-8.058438301086425781e+00,-1.318329572677612305e+00,-2.763540744781494141e-01
1.320000000000000107e+01,1.309347915649414062e+01,-8.728576660156250000e+00,-5.659675598144531250e-01,-2.559306621551513672e-01
1.321000000000000085e+01,1.194821357727050781e+01,-8.067152023315429688e+00,-1.264996528625488281e+00,-2.865312099456787109e-01
1.322000000000000064e+01,1.313450813293457031e+01,-8.724736213684082031e+00,-5.084562301635742188e-01,-2.644803524017333984e-01
1.323000000000000043e+01,1.199802875518798828e+01,-8.067844390869140625e+00,-1.210755109786987305e+00,-2.959239482879638672e-01
1.324000000000000021e+01,1.317188072204589844e+01,-8.712141036987304688e+00,-4.452967643737792969e-01,-2.722442150115966797e-01
1.325000000000000000e+01,1.204387664794921875e+01,-8.059070587158203125e+00,-1.152880191802978516e+00,-3.041591644287109375e-01
1.325999999999999979e+01,1.320449352264404297e+01,-8.692475318908691406e+00,-3.792667388916015625e-01,-2.789986133575439453e-01
1.326999999999999957e+01,1.208492469787597656e+01,-8.042875289916992188e+00,-1.094979047775268555e+00,-3.110985755920410156e-01
1.328000000000000114e+01,1.323334217071533203e+01,-8.663444519042968750e+00,-3.150260448455810547e-01,-2.845101356506347656e-01
1.329000000000000092e+01,1.212197303771972656e+01,-8.015633583068847656e+00,-1.036573648452758789e+00,-3.166034221649169922e-01
1.330000000000000071e+01,1.325772094726562500e+01,-8.626207351684570312e+00,-2.544772624969482422e-01,-2.887175083160400391e-01
1.331000000000000050e+01,1.215221405029296875e+01,-7.981264591217041016e+00,-9.781527519226074219e-01,-3.207230567932128906e-01
1.332000000000000028e+01,1.328135490417480469e+01,-8.575224876403808594e+00,-2.029502391815185547e-01,-2.909073829650878906e-01
1.333000000000000007e+01,1.217634963989257812e+01,-7.939695358276367188e+00,-9.233236312866210938e-01,-3.234667778015136719e-01
1.333999999999999986e+01,1.330430793762207031e+01,-8.507720947265625000e+00,-1.606214046478271484e-01,-2.911550998687744141e-01
