x,y,value
0.737288,-2.237288,-5.680954
0.813559,-2.237288,-6.183578
0.889830,-2.237288,-6.757294
0.966102,-2.237288,-8.392845
1.042373,-2.237288,-10.373554
1.118644,-2.237288,-12.523182
1.194915,-2.237288,-14.672848
1.271186,-2.237288,-16.822487
1.347457,-2.237288,-18.972118
1.423728,-2.237288,-21.117828
1.500000,-2.237288,-23.264191
-3.000000,-2.161017,-8.911011
-2.923729,-2.161017,-7.263187
-2.847458,-2.161017,-5.615368
-2.771186,-2.161017,-4.237198
-2.694915,-2.161017,-3.080960
-2.618644,-2.161017,-2.298386
-2.542373,-2.161017,-1.494644
-2.466102,-2.161017,-0.643238
-2.389831,-2.161017,0.218670
-2.313559,-2.161017,1.080539
-2.237288,-2.161017,1.530308
-2.161017,-2.161017,1.780575
-2.084746,-2.161017,2.029327
-2.008475,-2.161017,2.350975
-1.932203,-2.161017,2.786991
-1.855932,-2.161017,3.270267
-1.779661,-2.161017,3.753551
-1.703390,-2.161017,4.236786
-1.627119,-2.161017,4.720081
-1.550848,-2.161017,5.203346
-1.474576,-2.161017,5.686592
-1.398305,-2.161017,6.091717
-1.322034,-2.161017,6.804569
-1.245763,-2.161017,7.732521
-1.169492,-2.161017,8.623371
-1.093220,-2.161017,9.495045
-1.016949,-2.161017,10.339323
-0.940678,-2.161017,10.881800
-0.864407,-2.161017,11.424282
-0.788136,-2.161017,11.867271
-0.711864,-2.161017,12.084068
-0.635593,-2.161017,12.364000
-0.559322,-2.161017,11.699423
-0.483051,-2.161017,10.940941
-0.406780,-2.161017,10.182470
-0.330508,-2.161017,9.419142
-0.254237,-2.161017,8.644516
-0.177966,-2.161017,7.869884
-0.101695,-2.161017,7.095255
-0.025424,-2.161017,6.336178
0.050847,-2.161017,5.052032
0.127119,-2.161017,3.581863
0.203390,-2.161017,2.642494
0.279661,-2.161017,1.764206
0.355932,-2.161017,0.821022
0.432203,-2.161017,-0.030560
0.508474,-2.161017,-0.683468
0.584746,-2.161017,-1.336357
0.661017,-2.161017,-1.933354
0.737288,-2.161017,-2.396721
0.813559,-2.161017,-2.869187
0.889830,-2.161017,-4.078331
0.966102,-2.161017,-5.928905
1.042373,-2.161017,-8.087654
1.118644,-2.161017,-10.246342
1.194915,-2.161017,-12.405067
1.271186,-2.161017,-14.563793
1.347457,-2.161017,-16.619602
1.423728,-2.161017,-18.408615
1.500000,-2.161017,-20.180859
-3.000000,-2.084746,-5.912163
-2.923729,-2.084746,-4.267372
-2.847458,-2.084746,-2.619538
-2.771186,-2.084746,-1.108925
-2.694915,-2.084746,0.064396
-2.618644,-2.084746,0.847042
-2.542373,-2.084746,1.648765
-2.466102,-2.084746,2.495357
-2.389831,-2.084746,3.341987
-2.313559,-2.084746,4.188591
-2.237288,-2.084746,5.032284
-2.161017,-2.084746,5.625607
-2.084746,-2.084746,5.873737
-2.008475,-2.084746,6.308350
-1.932203,-2.084746,6.791588
-1.855932,-2.084746,7.274853
-1.779661,-2.084746,7.758121
-1.703390,-2.084746,8.241405
-1.627119,-2.084746,8.724676
-1.550848,-2.084746,9.207916
-1.474576,-2.084746,9.484505
-1.398305,-2.084746,9.644215
-1.322034,-2.084746,10.006485
-1.245763,-2.084746,10.923124
-1.169492,-2.084746,11.786551
-1.093220,-2.084746,12.650023
-1.016949,-2.084746,13.513424
-0.940678,-2.084746,13.945545
-0.864407,-2.084746,14.322212
-0.788136,-2.084746,14.741608
-0.711864,-2.084746,15.176414
-0.635593,-2.084746,15.611233
-0.559322,-2.084746,15.405622
-0.483051,-2.084746,14.641249
-0.406780,-2.084746,13.876886
-0.330508,-2.084746,13.112503
-0.254237,-2.084746,12.355946
-0.177966,-2.084746,11.609701
