time,t1,t2,t3,t4
8.970000000000000639e+00,3.646084785461425781e+00,3.736878633499145508e+00,3.706430196762084961e+00,3.296772480010986328e+00
8.980000000000000426e+00,3.486875772476196289e+00,3.861356496810913086e+00,3.422087192535400391e+00,3.552920103073120117e+00
8.990000000000000213e+00,3.541051626205444336e+00,3.765155553817749023e+00,3.667931556701660156e+00,3.281776189804077148e+00
9.000000000000000000e+00,3.417266368865966797e+00,3.877349138259887695e+00,3.382046461105346680e+00,3.569771766662597656e+00
9.009999999999999787e+00,3.491474151611328125e+00,3.769418716430664062e+00,3.601241350173950195e+00,3.331891775131225586e+00
9.019999999999999574e+00,3.407916307449340820e+00,3.869408607482910156e+00,3.321420192718505859e+00,3.646747350692749023e+00
9.029999999999999361e+00,3.520784139633178711e+00,3.750069379806518555e+00,3.548404932022094727e+00,3.415153980255126953e+00
9.040000000000000924e+00,3.476954221725463867e+00,3.836578369140625000e+00,3.289974212646484375e+00,3.740981101989746094e+00
9.050000000000000711e+00,3.616586208343505859e+00,3.708819866180419922e+00,3.542883634567260742e+00,3.486231803894042969e+00
9.060000000000000497e+00,3.568950653076171875e+00,3.787299156188964844e+00,3.299080371856689453e+00,3.789207458496093750e+00
9.070000000000000284e+00,3.698558568954467773e+00,3.669061183929443359e+00,3.587982892990112305e+00,3.484294652938842773e+00
9.080000000000000071e+00,3.623096704483032227e+00,3.752130746841430664e+00,3.351355552673339844e+00,3.750881910324096680e+00
9.089999999999999858e+00,3.708335161209106445e+00,3.655898809432983398e+00,3.657297611236572266e+00,3.407232761383056641e+00
9.099999999999999645e+00,3.589980840682983398e+00,3.756031751632690430e+00,3.419233083724975586e+00,3.635372400283813477e+00
9.109999999999999432e+00,3.626059293746948242e+00,3.686942338943481445e+00,3.720255136489868164e+00,3.296900272369384766e+00
9.120000000000000995e+00,3.492616891860961914e+00,3.808942556381225586e+00,3.471864700317382812e+00,3.526540040969848633e+00
9.130000000000000782e+00,3.484824895858764648e+00,3.743471860885620117e+00,3.719751834869384766e+00,3.226716279983520508e+00
9.140000000000000568e+00,3.375752210617065430e+00,3.859890460968017578e+00,3.440448284149169922e+00,3.508959054946899414e+00
9.150000000000000355e+00,3.387081861495971680e+00,3.782715320587158203e+00,3.649644851684570312e+00,3.260603189468383789e+00
9.160000000000000142e+00,3.334780454635620117e+00,3.875031471252441406e+00,3.357843399047851562e+00,3.601524353027343750e+00
9.169999999999999929e+00,3.399388790130615234e+00,3.772393226623535156e+00,3.557259559631347656e+00,3.379225730895996094e+00
9.179999999999999716e+00,3.406315565109252930e+00,3.836981058120727539e+00,3.284418821334838867e+00,3.745743036270141602e+00
9.189999999999999503e+00,3.496007919311523438e+00,3.722032070159912109e+00,3.516038417816162109e+00,3.482445955276489258e+00
9.200000000000001066e+00,3.504921913146972656e+00,3.773419618606567383e+00,3.272069692611694336e+00,3.813087940216064453e+00
9.210000000000000853e+00,3.603138208389282227e+00,3.651420354843139648e+00,3.545524120330810547e+00,3.491506338119506836e+00
9.220000000000000639e+00,3.607870578765869141e+00,3.698356866836547852e+00,3.319702386856079102e+00,3.786160469055175781e+00
9.230000000000000426e+00,3.684390544891357422e+00,3.597271203994750977e+00,3.627857446670532227e+00,3.425256729125976562e+00
9.240000000000000213e+00,3.647205591201782227e+00,3.662141561508178711e+00,3.398375511169433594e+00,3.687814474105834961e+00
9.250000000000000000e+00,3.661123275756835938e+00,3.594347238540649414e+00,3.704818725585937500e+00,3.314464092254638672e+00
9.259999999999999787e+00,3.583262920379638672e+00,3.686519145965576172e+00,3.463741779327392578e+00,3.570796966552734375e+00
9.269999999999999574e+00,3.542325735092163086e+00,3.633708715438842773e+00,3.727887630462646484e+00,3.224842071533203125e+00
9.279999999999999361e+00,3.439775943756103516e+00,3.742998361587524414e+00,3.465945005416870117e+00,3.496055364608764648e+00
9.290000000000000924e+00,3.373840093612670898e+00,3.685535669326782227e+00,3.674838781356811523e+00,3.187793970108032227e+00
9.300000000000000711e+00,3.296238183975219727e+00,3.782387971878051758e+00,3.392061948776245117e+00,3.498637437820434570e+00
9.310000000000000497e+00,3.263480424880981445e+00,3.702876329421997070e+00,3.565574407577514648e+00,3.233836650848388672e+00
9.320000000000000284e+00,3.258137941360473633e+00,3.765409946441650391e+00,3.288721799850463867e+00,3.590547084808349609e+00
9.330000000000000071e+00,3.272389411926269531e+00,3.667344808578491211e+00,3.460802078247070312e+00,3.338763713836669922e+00
9.339999999999999858e+00,3.319844722747802734e+00,3.700546979904174805e+00,3.213896512985229492e+00,3.701110363006591797e+00
9.349999999999999645e+00,3.353204965591430664e+00,3.595498085021972656e+00,3.419735193252563477e+00,3.406104087829589844e+00
9.359999999999999432e+00,3.416063785552978516e+00,3.615380048751831055e+00,3.209347248077392578e+00,3.735906362533569336e+00
9.370000000000000995e+00,3.460873603820800781e+00,3.515924453735351562e+00,3.453515052795410156e+00,3.407771348953247070e+00
9.380000000000000782e+00,3.520902156829833984e+00,3.546721220016479492e+00,3.270573616027832031e+00,3.705573320388793945e+00
9.390000000000000568e+00,3.538105487823486328e+00,3.469565153121948242e+00,3.537850379943847656e+00,3.351235628128051758e+00
9.400000000000000355e+00,3.561772823333740234e+00,3.517100811004638672e+00,3.351107835769653320e+00,3.626849651336669922e+00
9.410000000000000142e+00,3.515048742294311523e+00,3.477393865585327148e+00,3.615484476089477539e+00,3.260630846023559570e+00
9.419999999999999929e+00,3.500390529632568359e+00,3.534697771072387695e+00,3.393518447875976562e+00,3.530911445617675781e+00
9.429999999999999716e+00,3.403845310211181641e+00,3.519254446029663086e+00,3.630872011184692383e+00,3.181697607040405273e+00
9.439999999999999503e+00,3.391995429992675781e+00,3.575274705886840820e+00,3.384906768798828125e+00,3.466504573822021484e+00
9.450000000000001066e+00,3.281289577484130859e+00,3.565895318984985352e+00,3.589689493179321289e+00,3.152592182159423828e+00
9.460000000000000853e+00,3.274719715118408203e+00,3.614222049713134766e+00,3.323001861572265625e+00,3.453344345092773438e+00
9.470000000000000639e+00,3.158350706100463867e+00,3.600683450698852539e+00,3.492572307586669922e+00,3.166319847106933594e+00
9.480000000000000426e+00,3.192583084106445312e+00,3.625640153884887695e+00,3.230961322784423828e+00,3.492016792297363281e+00
9.490000000000000213e+00,3.108289480209350586e+00,3.597771644592285156e+00,3.394410610198974609e+00,3.215552330017089844e+00
9.500000000000000000e+00,3.195755958557128906e+00,3.588267326354980469e+00,3.158565998077392578e+00,3.551096677780151367e+00
9.509999999999999787e+00,3.150949239730834961e+00,3.551453113555908203e+00,3.344060897827148438e+00,3.273623466491699219e+00
9.519999999999999574e+00,3.262619018554687500e+00,3.528620243072509766e+00,3.136057853698730469e+00,3.601859092712402344e+00
9.529999999999999361e+00,3.235971212387084961e+00,3.492279052734375000e+00,3.348767042160034180e+00,3.308087587356567383e+00
9.540000000000000924e+00,3.370911359786987305e+00,3.470099210739135742e+00,3.168755531311035156e+00,3.626415252685546875e+00
9.550000000000000711e+00,3.332594871520996094e+00,3.442150592803955078e+00,3.400690793991088867e+00,3.312491893768310547e+00
9.560000000000000497e+00,3.459999561309814453e+00,3.424819946289062500e+00,3.227853059768676758e+00,3.611192703247070312e+00
9.570000000000000284e+00,3.391275405883789062e+00,3.414710760116577148e+00,3.474809646606445312e+00,3.274393796920776367e+00
9.580000000000000071e+00,3.482634067535400391e+00,3.414926290512084961e+00,3.294470071792602539e+00,3.541252613067626953e+00
9.589999999999999858e+00,3.366107463836669922e+00,3.424871206283569336e+00,3.532835245132446289e+00,3.193562746047973633e+00
9.599999999999999645e+00,3.410240411758422852e+00,3.449646472930908203e+00,3.329538106918334961e+00,3.443895578384399414e+00
9.609999999999999432e+00,3.263224840164184570e+00,3.469739675521850586e+00,3.532392740249633789e+00,3.119418621063232422e+00
9.620000000000000995e+00,3.294422388076782227e+00,3.490545272827148438e+00,3.308382034301757812e+00,3.380445957183837891e+00
9.630000000000000782e+00,3.151394128799438477e+00,3.513150930404663086e+00,3.484966039657592773e+00,3.092087030410766602e+00
9.640000000000000568e+00,3.202882051467895508e+00,3.518770933151245117e+00,3.256111145019531250e+00,3.379238128662109375e+00
9.650000000000000355e+00,3.064001560211181641e+00,3.534012556076049805e+00,3.402006387710571289e+00,3.114781379699707031e+00
9.660000000000000142e+00,3.139551162719726562e+00,3.526249170303344727e+00,3.173519372940063477e+00,3.423974037170410156e+00
9.669999999999999929e+00,3.025147199630737305e+00,3.529479026794433594e+00,3.312246084213256836e+00,3.173061370849609375e+00
9.679999999999999716e+00,3.137113094329833984e+00,3.498590230941772461e+00,3.112063169479370117e+00,3.474145650863647461e+00
9.689999999999999503e+00,3.050594091415405273e+00,3.489464759826660156e+00,3.264651298522949219e+00,3.226123571395874023e+00
9.700000000000001066e+00,3.187973499298095703e+00,3.440721273422241211e+00,3.081740856170654297e+00,3.512904167175292969e+00
9.710000000000000853e+00,3.119842767715454102e+00,3.428071975708007812e+00,3.268820047378540039e+00,3.242777347564697266e+00
9.720000000000000639e+00,3.275638580322265625e+00,3.381061315536499023e+00,3.101330757141113281e+00,3.529222726821899414e+00
9.730000000000000426e+00,3.200767993927001953e+00,3.372165918350219727e+00,3.300087690353393555e+00,3.243831872940063477e+00
9.740000000000000213e+00,3.344829559326171875e+00,3.340647935867309570e+00,3.149404287338256836e+00,3.509785413742065430e+00
9.750000000000000000e+00,3.242652654647827148e+00,3.349852323532104492e+00,3.360051870346069336e+00,3.205753803253173828e+00
9.759999999999999787e+00,3.358997106552124023e+00,3.331156015396118164e+00,3.212657928466796875e+00,3.445264816284179688e+00
9.769999999999999574e+00,3.231884717941284180e+00,3.361299276351928711e+00,3.424987554550170898e+00,3.140820503234863281e+00
9.779999999999999361e+00,3.353455781936645508e+00,3.350085735321044922e+00,3.271286725997924805e+00,3.390137434005737305e+00
9.790000000000000924e+00,3.219252824783325195e+00,3.399906396865844727e+00,3.475000619888305664e+00,3.114522933959960938e+00
9.800000000000000711e+00,3.331806182861328125e+00,3.390750885009765625e+00,3.300783157348632812e+00,3.373260021209716797e+00
9.810000000000000497e+00,3.185232162475585938e+00,3.452655792236328125e+00,3.483179807662963867e+00,3.118995666503906250e+00
9.820000000000000284e+00,3.295929193496704102e+00,3.436563253402709961e+00,3.298183441162109375e+00,3.385127544403076172e+00
9.830000000000000071e+00,3.142680883407592773e+00,3.491053819656372070e+00,3.451225996017456055e+00,3.144542932510375977e+00
9.839999999999999858e+00,3.282488822937011719e+00,3.448009729385375977e+00,3.261111497879028320e+00,3.431492328643798828e+00
9.849999999999999645e+00,3.146872282028198242e+00,3.492511034011840820e+00,3.398613691329956055e+00,3.200038909912109375e+00
9.859999999999999432e+00,3.304008007049560547e+00,3.426089763641357422e+00,3.222116947174072266e+00,3.480939388275146484e+00
9.870000000000000995e+00,3.162856817245483398e+00,3.469778537750244141e+00,3.356366872787475586e+00,3.239429473876953125e+00
9.880000000000000782e+00,3.321834325790405273e+00,3.409379005432128906e+00,3.211526632308959961e+00,3.503489255905151367e+00
9.890000000000000568e+00,3.172950983047485352e+00,3.460270404815673828e+00,3.351722717285156250e+00,3.253607273101806641e+00
9.900000000000000355e+00,3.332018613815307617e+00,3.404917955398559570e+00,3.236539840698242188e+00,3.495853662490844727e+00
9.910000000000000142e+00,3.173812866210937500e+00,3.469926357269287109e+00,3.386464357376098633e+00,3.247966527938842773e+00
9.919999999999999929e+00,3.332864046096801758e+00,3.412294387817382812e+00,3.280357360839843750e+00,3.477574586868286133e+00
9.929999999999999716e+00,3.166924715042114258e+00,3.478985309600830078e+00,3.424696683883666992e+00,3.234591960906982422e+00
9.939999999999999503e+00,3.339408159255981445e+00,3.408091306686401367e+00,3.314476728439331055e+00,3.458027124404907227e+00
9.950000000000001066e+00,3.173522472381591797e+00,3.475681543350219727e+00,3.443427801132202148e+00,3.229727029800415039e+00
9.960000000000000853e+00,3.353353977203369141e+00,3.389763116836547852e+00,3.324546575546264648e+00,3.443936824798583984e+00
9.970000000000000639e+00,3.179047346115112305e+00,3.463948488235473633e+00,3.438860177993774414e+00,3.229943037033081055e+00
9.980000000000000426e+00,3.356934547424316406e+00,3.372922420501708984e+00,3.320142030715942383e+00,3.435910940170288086e+00
9.990000000000000213e+00,3.172819375991821289e+00,3.456589698791503906e+00,3.420314788818359375e+00,3.234919786453247070e+00
1.000000000000000000e+01,3.334592580795288086e+00,3.368061065673828125e+00,3.302546977996826172e+00,3.424062252044677734e+00
1.000999999999999979e+01,3.136687755584716797e+00,3.475489377975463867e+00,3.391152381896972656e+00,3.239869356155395508e+00
1.001999999999999957e+01,3.294498682022094727e+00,3.392940521240234375e+00,3.284846305847167969e+00,3.419625997543334961e+00
1.002999999999999936e+01,3.100699186325073242e+00,3.504631757736206055e+00,3.362226247787475586e+00,3.247079372406005859e+00
1.004000000000000092e+01,3.277829408645629883e+00,3.413865566253662109e+00,3.272507429122924805e+00,3.422580480575561523e+00
1.005000000000000071e+01,3.097905158996582031e+00,3.524059772491455078e+00,3.350300550460815430e+00,3.259757518768310547e+00
1.006000000000000050e+01,3.290595293045043945e+00,3.422193050384521484e+00,3.274839401245117188e+00,3.426460742950439453e+00
1.007000000000000028e+01,3.117065191268920898e+00,3.533003091812133789e+00,3.352264881134033203e+00,3.272359132766723633e+00
1.008000000000000007e+01,3.325719118118286133e+00,3.426612854003906250e+00,3.283899307250976562e+00,3.438379764556884766e+00
1.008999999999999986e+01,3.160106658935546875e+00,3.541167259216308594e+00,3.362111806869506836e+00,3.299259185791015625e+00
1.009999999999999964e+01,3.357076883316040039e+00,3.436456203460693359e+00,3.285510301589965820e+00,3.460088968276977539e+00
1.010999999999999943e+01,3.185405731201171875e+00,3.560355901718139648e+00,3.357188224792480469e+00,3.333461999893188477e+00
1.012000000000000099e+01,3.373825788497924805e+00,3.445955991744995117e+00,3.280200004577636719e+00,3.475279092788696289e+00
1.013000000000000078e+01,3.195766925811767578e+00,3.578709602355957031e+00,3.349656105041503906e+00,3.354871034622192383e+00
1.014000000000000057e+01,3.386823654174804688e+00,3.460851669311523438e+00,3.279515504837036133e+00,3.484851837158203125e+00
1.015000000000000036e+01,3.202289104461669922e+00,3.595630645751953125e+00,3.347851991653442383e+00,3.365658044815063477e+00
1.016000000000000014e+01,3.399127721786499023e+00,3.471191167831420898e+00,3.291369199752807617e+00,3.473925113677978516e+00
1.016999999999999993e+01,3.210434675216674805e+00,3.611744642257690430e+00,3.357601642608642578e+00,3.359744071960449219e+00
1.017999999999999972e+01,3.408926486968994141e+00,3.485028982162475586e+00,3.309165239334106445e+00,3.459290027618408203e+00
1.018999999999999950e+01,3.214370965957641602e+00,3.628885984420776367e+00,3.368375062942504883e+00,3.350967645645141602e+00
1.020000000000000107e+01,3.429296255111694336e+00,3.508862972259521484e+00,3.343947172164916992e+00,3.445639133453369141e+00
1.021000000000000085e+01,3.226183414459228516e+00,3.660758256912231445e+00,3.390739440917968750e+00,3.347198724746704102e+00
1.022000000000000064e+01,3.448182582855224609e+00,3.527915000915527344e+00,3.374529600143432617e+00,3.435028314590454102e+00
1.023000000000000043e+01,3.243150234222412109e+00,3.686553001403808594e+00,3.413080453872680664e+00,3.350908994674682617e+00
1.024000000000000021e+01,3.475867986679077148e+00,3.541680335998535156e+00,3.392660140991210938e+00,3.440245151519775391e+00
1.025000000000000000e+01,3.266700744628906250e+00,3.702531099319458008e+00,3.418733119964599609e+00,3.367970228195190430e+00
1.025999999999999979e+01,3.513585329055786133e+00,3.554619789123535156e+00,3.396832466125488281e+00,3.466817378997802734e+00
1.026999999999999957e+01,3.303887367248535156e+00,3.725456237792968750e+00,3.412158489227294922e+00,3.416946411132812500e+00
1.027999999999999936e+01,3.552608013153076172e+00,3.578891515731811523e+00,3.393392324447631836e+00,3.516005277633666992e+00
1.029000000000000092e+01,3.334115028381347656e+00,3.760081768035888672e+00,3.404290914535522461e+00,3.471575260162353516e+00
1.030000000000000071e+01,3.579402208328247070e+00,3.615301132202148438e+00,3.395709514617919922e+00,3.558789491653442383e+00
1.031000000000000050e+01,3.352821588516235352e+00,3.809036970138549805e+00,3.407021522521972656e+00,3.516152620315551758e+00
1.032000000000000028e+01,3.594703912734985352e+00,3.663381576538085938e+00,3.413364648818969727e+00,3.582610130310058594e+00
1.033000000000000007e+01,3.360510110855102539e+00,3.862429618835449219e+00,3.419829368591308594e+00,3.542466878890991211e+00
1.033999999999999986e+01,3.600906133651733398e+00,3.711600542068481445e+00,3.445611476898193359e+00,3.579760074615478516e+00
1.034999999999999964e+01,3.364310503005981445e+00,3.907576084136962891e+00,3.445544004440307617e+00,3.542304277420043945e+00
1.035999999999999943e+01,3.607504129409790039e+00,3.738716363906860352e+00,3.478732109069824219e+00,3.560598850250244141e+00
1.037000000000000099e+01,3.377791404724121094e+00,3.923818826675415039e+00,3.476632356643676758e+00,3.523608207702636719e+00
1.038000000000000078e+01,3.629786014556884766e+00,3.729666471481323242e+00,3.510777711868286133e+00,3.518273591995239258e+00
1.039000000000000057e+01,3.405124664306640625e+00,3.902874708175659180e+00,3.501043319702148438e+00,3.490621328353881836e+00
1.040000000000000036e+01,3.669763088226318359e+00,3.694621562957763672e+00,3.539352416992187500e+00,3.473278284072875977e+00
1.041000000000000014e+01,3.445666551589965820e+00,3.862540960311889648e+00,3.517673969268798828e+00,3.461198806762695312e+00
1.041999999999999993e+01,3.709572076797485352e+00,3.647483348846435547e+00,3.560486793518066406e+00,3.433246612548828125e+00
1.042999999999999972e+01,3.480710744857788086e+00,3.822188615798950195e+00,3.523678779602050781e+00,3.443946838378906250e+00
1.043999999999999950e+01,3.747850179672241211e+00,3.613603353500366211e+00,3.563505649566650391e+00,3.427650213241577148e+00
1.045000000000000107e+01,3.506234407424926758e+00,3.802696943283081055e+00,3.511518001556396484e+00,3.458363533020019531e+00
1.046000000000000085e+01,3.762148857116699219e+00,3.620489835739135742e+00,3.541012525558471680e+00,3.469316482543945312e+00
1.047000000000000064e+01,3.511038780212402344e+00,3.826714277267456055e+00,3.475611448287963867e+00,3.519262313842773438e+00
1.048000000000000043e+01,3.749340534210205078e+00,3.659180164337158203e+00,3.509777545928955078e+00,3.523820161819458008e+00
