time,Fz,Mx,My,Mz
4.669999999999999929e+00,1.267578792572021484e+01,-2.818003483116626740e-02,8.796849288046360016e-03,-1.643174793571233749e-03
4.679999999999999716e+00,1.343571853637695312e+01,2.208738774061203003e-02,-8.539138361811637878e-03,-2.345624146983027458e-03
4.690000000000000391e+00,1.262573051452636719e+01,-2.753818593919277191e-02,7.630381733179092407e-03,-2.414373448118567467e-03
4.700000000000000178e+00,1.348361110687255859e+01,2.207672037184238434e-02,-1.065333187580108643e-02,-3.150156233459711075e-03
4.709999999999999964e+00,1.264234733581542969e+01,-2.805975824594497681e-02,6.099672522395849228e-03,-3.049754071980714798e-03
4.719999999999999751e+00,1.347134685516357422e+01,2.173095382750034332e-02,-1.272564288228750229e-02,-3.133102552965283394e-03
4.730000000000000426e+00,1.264403438568115234e+01,-2.901927940547466278e-02,4.820870701223611832e-03,-3.248583059757947922e-03
4.740000000000000213e+00,1.342058944702148438e+01,2.106395177543163300e-02,-1.467436831444501877e-02,-2.397788455709815025e-03
4.750000000000000000e+00,1.262744235992431641e+01,-3.021310828626155853e-02,3.797303885221481323e-03,-3.088514553382992744e-03
4.759999999999999787e+00,1.335301303863525391e+01,2.014518156647682190e-02,-1.634690724313259125e-02,-1.550744753330945969e-03
4.770000000000000462e+00,1.258763504028320312e+01,-3.110696189105510712e-02,3.107204334810376167e-03,-2.894954290241003036e-03
4.780000000000000249e+00,1.326144695281982422e+01,1.931437849998474121e-02,-1.812737435102462769e-02,-4.825955256819725037e-04
4.790000000000000036e+00,1.252646636962890625e+01,-3.116911835968494415e-02,2.202615840360522270e-03,-2.152285305783152580e-03
4.799999999999999822e+00,1.316272354125976562e+01,1.873105578124523163e-02,-1.958003826439380646e-02,3.029410145245492458e-04
4.810000000000000497e+00,1.246187591552734375e+01,-3.087188675999641418e-02,1.620426075533032417e-03,-1.340820919722318649e-03
4.820000000000000284e+00,1.309722995758056641e+01,1.835803501307964325e-02,-2.056529372930526733e-02,8.068381575867533684e-04
4.830000000000000071e+00,1.243234729766845703e+01,-3.032346069812774658e-02,1.543580088764429092e-03,-8.370472351089119911e-04
4.839999999999999858e+00,1.308764457702636719e+01,1.767859980463981628e-02,-2.085736580193042755e-02,1.576197799295186996e-03
4.850000000000000533e+00,1.249115753173828125e+01,-2.903062663972377777e-02,2.658532233908772469e-03,-1.151655917055904865e-03
4.860000000000000320e+00,1.314871120452880859e+01,1.769650913774967194e-02,-1.965407282114028931e-02,1.679361797869205475e-03
