time,x,y,z,velocity,ref_x,ref_y,ref_z
17.119902849197388,60.725093841552734,32.910255432128906,16.69210433959961,5.319179800326329,56.50629997253418,33.125500202178955,16.452100038528442
17.12978744506836,60.688568115234375,32.87068176269531,16.695402145385742,5.303318972560718,56.50629997253418,33.125500202178955,16.452100038528442
17.139676570892334,60.652122497558594,32.831607818603516,16.69856834411621,5.243662455484465,56.50629997253418,33.125500202178955,16.452100038528442
17.14996075630188,60.61568832397461,32.792991638183594,16.70178985595703,5.2502219213432815,56.346230773791866,33.02758598749008,16.46544741074592
17.1598641872406,60.57826232910156,32.7537956237793,16.705089569091797,5.1795325246945545,56.34560012817383,33.02720022201538,16.465499997138977
17.169901609420776,60.5433235168457,32.71749496459961,16.708189010620117,5.179742908422569,56.34560012817383,33.02720022201538,16.465499997138977
17.179901838302612,60.505775451660156,32.6790885925293,16.711627960205078,5.134998497191754,56.34560012817383,33.02720022201538,16.465499997138977
17.19027614593506,60.505775451660156,32.6790885925293,16.711627960205078,5.134998497191754,56.34114312399654,33.024557498127265,16.465878317301758
17.200040102005005,60.470088958740234,32.64286422729492,16.714738845825195,5.0926837808209235,56.184199810028076,32.93149995803833,16.47920000553131
17.209959506988525,60.397396087646484,32.57048034667969,16.721220016479492,5.01734915719068,56.184199810028076,32.93149995803833,16.47920000553131
17.21993374824524,60.3612174987793,32.53504943847656,16.724498748779297,5.0203856884375755,56.184199810028076,32.93149995803833,16.47920000553131
17.231281518936157,60.32525634765625,32.500370025634766,16.727781295776367,4.961320967942741,56.184199810028076,32.93149995803833,16.47920000553131
17.240110158920288,60.28905487060547,32.46546173095703,16.730653762817383,4.941480002334855,56.18241523879718,32.930474377708855,16.479355329119354
17.256357192993164,60.28905487060547,32.46546173095703,16.730653762817383,4.941480002334855,56.02220010757446,32.83839988708496,16.493299961090088
17.260759592056274,60.217247009277344,32.39765548706055,16.736427307128906,4.855597877080962,56.02220010757446,32.83839988708496,16.493299961090088
17.269874334335327,60.180747985839844,32.363853454589844,16.73948860168457,4.855726409683773,56.02220010757446,32.83839988708496,16.493299961090088
17.280447006225586,60.14485168457031,32.33110809326172,16.74245834350586,4.787223438607411,56.02220010757446,32.83839988708496,16.493299961090088
17.28958296775818,60.10905456542969,32.298824310302734,16.745332717895508,4.77827092122632,56.02220010757446,32.83839988708496,16.493299961090088
17.299765825271606,60.07356262207031,32.267250061035156,16.748315811157227,4.737743053463042,55.8633099582935,32.750019287588664,16.507460429154776
