x,y,value
-1.779661,-2.008475,55.448315
-1.703390,-2.008475,55.489346
-1.627119,-2.008475,55.524338
-1.550848,-2.008475,55.513088
-1.474576,-2.008475,55.543770
-1.398305,-2.008475,55.555477
-1.322034,-2.008475,55.484314
-1.245763,-2.008475,55.292645
-1.169492,-2.008475,54.960358
-1.093220,-2.008475,54.620430
-1.016949,-2.008475,54.328434
-0.940678,-2.008475,54.178852
-0.864407,-2.008475,50.678761
-0.788136,-2.008475,42.824940
-0.711864,-2.008475,34.830578
-0.635593,-2.008475,28.110453
-0.559322,-2.008475,22.437153
-0.483051,-2.008475,15.812153
-0.406780,-2.008475,9.282372
-0.330508,-2.008475,2.842663
