time,vx,vy,vz,psi_dot
9.750000000000000000e+00,4.816002845764160156e+00,8.652008056640625000e+00,-1.954483985900878906e-01,3.736104965209960938e-01
9.759999999999999787e+00,5.869276523590087891e+00,9.515869140625000000e+00,9.811186790466308594e-01,3.457756042480468750e-01
9.769999999999999574e+00,4.443449974060058594e+00,8.303586959838867188e+00,-1.807796955108642578e-01,3.600459098815917969e-01
9.779999999999999361e+00,5.453932285308837891e+00,9.221494674682617188e+00,1.065113544464111328e+00,3.289742469787597656e-01
9.790000000000000924e+00,4.050180912017822266e+00,7.959921360015869141e+00,-1.085197925567626953e-01,3.442163467407226562e-01
9.800000000000000711e+00,5.054173469543457031e+00,8.968612670898437500e+00,1.147773265838623047e+00,3.161864280700683594e-01
9.810000000000000497e+00,3.633112907409667969e+00,7.628390789031982422e+00,5.722522735595703125e-02,3.247141838073730469e-01
9.820000000000000284e+00,4.499032497406005859e+00,8.765749931335449219e+00,1.155464649200439453e+00,3.015222549438476562e-01
9.830000000000000071e+00,3.103287220001220703e+00,7.362244129180908203e+00,1.668429374694824219e-01,3.093409538269042969e-01
9.839999999999999858e+00,3.913259506225585938e+00,8.613500595092773438e+00,1.179952621459960938e+00,2.856492996215820312e-01
9.849999999999999645e+00,2.503519058227539062e+00,7.134206295013427734e+00,2.837944030761718750e-01,2.940673828125000000e-01
9.859999999999999432e+00,3.319706916809082031e+00,8.550858497619628906e+00,1.333856582641601562e+00,2.689323425292968750e-01
9.870000000000000995e+00,1.888101100921630859e+00,7.003581523895263672e+00,4.992413520812988281e-01,2.778382301330566406e-01
9.880000000000000782e+00,2.646262645721435547e+00,8.470018386840820312e+00,1.527945995330810547e+00,2.473964691162109375e-01
9.890000000000000568e+00,1.256799697875976562e+00,6.924746036529541016e+00,7.233166694641113281e-01,2.623438835144042969e-01
9.900000000000000355e+00,1.917185783386230469e+00,8.404717445373535156e+00,1.701388359069824219e+00,2.324523925781250000e-01
9.910000000000000142e+00,5.687117576599121094e-01,6.859359741210937500e+00,8.864188194274902344e-01,2.503519058227539062e-01
9.919999999999999929e+00,1.188893318176269531e+00,8.346734046936035156e+00,1.777210235595703125e+00,2.237944602966308594e-01
9.929999999999999716e+00,-1.202559471130371094e-01,6.782095432281494141e+00,9.836602210998535156e-01,2.429580688476562500e-01
9.939999999999999503e+00,4.748702049255371094e-01,8.272128105163574219e+00,1.804022789001464844e+00,2.195138931274414062e-01
9.950000000000001066e+00,-7.592034339904785156e-01,6.721260547637939453e+00,1.005322933197021484e+00,2.393937110900878906e-01
9.960000000000000853e+00,-2.855336666107177734e-01,8.228666305541992188e+00,1.794207096099853516e+00,2.129216194152832031e-01
9.970000000000000639e+00,-1.406131982803344727e+00,6.664414405822753906e+00,9.535741806030273438e-01,2.357349395751953125e-01
9.980000000000000426e+00,-1.063671112060546875e+00,8.192874908447265625e+00,1.757552623748779297e+00,2.045817375183105469e-01
