time,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,M1,M2,M3,M4,px_ref,py_ref,pz_ref,vx_ref,vy_ref,vz_ref
2.9,-1.558956265449524,2.009451150894165,1.6736383438110352,-0.5571048855781555,-2.68776535987854,0.08725804835557938,0.9032853841781616,0.16354890167713165,0.3821786046028137,0.10614525526762009,0.18883968889713287,0.4070860743522644,-0.6936076283454895,10466.328125,9438.796875,10582.611328125,10441.9619140625,-1.4890962839126587,2.2453510761260986,1.5,-0.4814232885837555,-2.6527633666992188,0.0
2.91,-1.5633904933929443,1.982237458229065,1.674555778503418,-0.44342756271362305,-2.7213644981384277,0.09174124151468277,0.9027135372161865,0.16285893321037292,0.3846813440322876,0.10298379510641098,0.19340959191322327,0.3278161883354187,-0.6876892447471619,10414.630859375,9370.96875,10590.7236328125,10436.548828125,-1.4933804273605347,2.2186245918273926,1.5,-0.37537339329719543,-2.69244384765625,0.0
2.92,-1.5666924715042114,1.9546897411346436,1.6755046844482422,-0.3301955759525299,-2.7547712326049805,0.0948878601193428,0.902272641658783,0.16223914921283722,0.3868175148963928,0.09977402538061142,0.19432812929153442,0.24217669665813446,-0.680429220199585,10349.7705078125,9292.8837890625,10586.490234375,10421.3916015625,-1.4966027736663818,2.1915037631988525,1.5,-0.2690565586090088,-2.731645345687866,0.0
2.93,-1.5688695907592773,1.9268100261688232,1.6764706373214722,-0.2177136093378067,-2.7879703044891357,0.09659520536661148,0.9019797444343567,0.16167788207530975,0.38855621218681335,0.09652429074048996,0.19155524671077728,0.15159568190574646,-0.671870231628418,10274.205078125,9207.494140625,10570.2705078125,10397.4013671875,-1.4987609386444092,2.1639933586120605,1.5,-0.16254843771457672,-2.7703616619110107,0.0
2.94,-1.5699321031570435,1.898600459098816,1.677438735961914,-0.10624663531780243,-2.8209543228149414,0.09681078046560287,0.9018488526344299,0.16116227209568024,0.3898729681968689,0.09324401617050171,0.1851402074098587,0.057714153081178665,-0.6620996594429016,10190.6279296875,9117.9072265625,10542.8017578125,10365.7470703125,-1.4998533725738525,2.1360981464385986,1.5,-0.05592471361160278,-2.8085851669311523,0.0
2.95,-1.5698922872543335,1.870063304901123,1.6783939599990845,0.003976732026785612,-2.8537209033966064,0.09552334249019623,0.9018904566764832,0.16067858040332794,0.3907507359981537,0.08994351327419281,0.17523539066314697,-0.037794992327690125,-0.6512637734413147,10102.0283203125,9027.1865234375,10504.4033203125,10326.7158203125,-1.4998793601989746,2.107823371887207,1.5,0.05073877051472664,-2.8463094234466553,0.0
2.96,-1.5687649250030518,1.8412007093429565,1.6793212890625,0.11274047195911407,-2.886263847351074,0.09273634105920792,0.9021112322807312,0.1602124571800232,0.3911800980567932,0.08663344383239746,0.1622466892004013,-0.13338010013103485,-0.6394822597503662,10008.1552734375,8935.3056640625,10456.48828125,10281.0556640625,-1.4988387823104858,2.0791735649108887,1.5,0.15736617147922516,-2.8835277557373047,0.0
2.97,-1.5665661096572876,1.8120148181915283,1.680206298828125,0.21988730132579803,-2.918586015701294,0.08850326389074326,0.9025141000747681,0.15975040197372437,0.3911588191986084,0.0833243727684021,0.14668412506580353,-0.22744564712047577,-0.6268744468688965,9911.44140625,8844.90234375,10401.4814453125,10231.267578125,-1.4967323541641235,2.050154447555542,1.5,0.2638816833496094,-2.9202334880828857,0.0
2.98,-1.5633130073547363,1.7825078964233398,1.6810353994369507,0.3253098726272583,-2.9506969451904297,0.08291545510292053,0.9030976295471191,0.15928012132644653,0.39069199562072754,0.0800265297293663,0.1291395127773285,-0.31843018531799316,-0.6135805249214172,9814.5322265625,8758.6259765625,10340.939453125,10178.8134765625,-1.4935617446899414,2.020770788192749,1.5,0.37020954489707947,-2.9564199447631836,0.0
2.99,-1.5590234994888306,1.7526817321777344,1.6817964315414429,0.42895448207855225,-2.982614278793335,0.07610193639993668,0.9038567543029785,0.15879108011722565,0.3897920548915863,0.07674957066774368,0.11032871901988983,-0.4048687517642975,-0.5997510552406311,9720.060546875,8679.0576171875,10276.9189453125,10125.4150390625,-1.4893290996551514,1.9910277128219604,1.5,0.47627416253089905,-2.9920809268951416,0.0
